session_id,name,stimulus_name,specimen_id,storage_directory,external_specimen_name,genotype,date_of_acquisition,rig,date_of_birth,full_genotype,age,sex,parent_session_id,workflow_state,project
693163207,20180502_378346_TFSF,VisCodingTargetedTFxSF,671540231,/allen/programs/braintv/production/neuralcoding/prod50/specimen_671540231/ophys_session_693163207/,378346,Rorb-IRES2-Cre;Camk2a-tTA;Ai93,2018-05-02 19:07:57.000000,CAM2P.1,2018-01-17 00:00:00.000000,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P125,F,,uploaded,VisCodingTargetedTFxSF
692496401,20180501_381627_TargetedContrast,VisCodingTargetedContrast,673580710,/allen/programs/braintv/production/neuralcoding/prod51/specimen_673580710/ophys_session_692496401/,381627,Rbp4-Cre_KL100;Camk2a-tTA;Ai93,2018-05-02 17:06:28.000000,CAM2P.1,2018-02-04 00:00:00.000000,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P134,M,,uploaded,VisCodingTargetedContrast
693268220,20180502_377151_2P1_VISl_275um_ContrastTuning,VisCodingTargetedContrast,666839638,/allen/programs/braintv/production/neuralcoding/prod49/specimen_666839638/ophys_session_693268220/,377151,Rorb-IRES2-Cre;Camk2a-tTA;Ai93,2018-05-02 23:09:08.000000,CAM2P.1,2018-01-09 00:00:00.000000,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P129,M,,uploaded,VisCodingTargetedContrast
693811236,20180503_377151_2P1_VISal_275um_ContrastTuning,VisCodingTargetedContrast,666839638,/allen/programs/braintv/production/neuralcoding/prod49/specimen_666839638/ophys_session_693811236/,377151,Rorb-IRES2-Cre;Camk2a-tTA;Ai93,2018-05-03 21:26:35.000000,CAM2P.1,2018-01-09 00:00:00.000000,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P129,M,,uploaded,VisCodingTargetedContrast
698363196,20180516_382481_RunningDecoding,VisCodingTargetedRunningDecoding,675861517,/allen/programs/braintv/production/neuralcoding/prod51/specimen_675861517/ophys_session_698363196/,382481,Rbp4-Cre_KL100;Camk2a-tTA;Ai93,2018-05-16 18:54:32.000000,CAM2P.1,2018-02-10 00:00:00.000000,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P150,M,,uploaded,VisCodingTargetedRunningDecoding
695462675,20180508_377321_2P1_VISl_275um_ContrastTuning,VisCodingTargetedContrast,664605504,/allen/programs/braintv/production/neuralcoding/prod48/specimen_664605504/ophys_session_695462675/,377321,Sst-IRES-Cre;Ai148,2018-05-08 23:15:46.000000,CAM2P.1,2018-01-08 00:00:00.000000,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P134,M,,uploaded,VisCodingTargetedContrast
694754690,20180507_377629_TFSF,VisCodingTargetedTFxSF,664744816,/allen/programs/braintv/production/neuralcoding/prod49/specimen_664744816/ophys_session_694754690/,377629,Sst-IRES-Cre;Ai148,2018-05-07 19:10:59.000000,CAM2P.2,2018-01-11 00:00:00.000000,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P138,M,,uploaded,VisCodingTargetedTFxSF
699170716,20180518_379899_TargetedContrast,VisCodingTargetedContrast,673647168,/allen/programs/braintv/production/neuralcoding/prod51/specimen_673647168/ophys_session_699170716/,379899,Vip-IRES-Cre;Ai148,2018-05-18 14:55:08.000000,CAM2P.2,2018-01-27 00:00:00.000000,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P128,M,,uploaded,VisCodingTargetedContrast
693508136,20180503_381627_RunningDecoding,VisCodingTargetedRunningDecoding,673580710,/allen/programs/braintv/production/neuralcoding/prod51/specimen_673580710/ophys_session_693508136/,381627,Rbp4-Cre_KL100;Camk2a-tTA;Ai93,2018-05-03 17:16:43.000000,CAM2P.1,2018-02-04 00:00:00.000000,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P134,M,,uploaded,VisCodingTargetedRunningDecoding
693710061,20180503_377629_TFSF,VisCodingTargetedTFxSF,664744816,/allen/programs/braintv/production/neuralcoding/prod49/specimen_664744816/ophys_session_693710061/,377629,Sst-IRES-Cre;Ai148,2018-05-03 19:56:02.000000,CAM2P.2,2018-01-11 00:00:00.000000,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P138,M,,uploaded,VisCodingTargetedTFxSF
